,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
2720,Swamp Ape,2017,2.8,,311.0,311.0,"Adventure, Comedy, Horror","Director:Geoff Ward| Stars:Vanessa Capriglione, Justin Brackett, Adam Brudnicki, Lina Dang"
2721,Damascena,2017,6.1,,188.0,188.0,Drama,"Director:Todor Anastasov| Stars:Veselin Plachkov, Dimitar Banenkin, Neda Spasova, Simona Halacheva"
2722,Galaxy of Horrors,2017,4.7,,832.0,832.0,"Horror, Sci-Fi","Directors:Dennis Cabella, Javier Chillon, Todd Cobery, Andrew Desmond, Benni Diez, Marcello Ercole, Richard Karpala, Justin McConnell, Antonio Padovan, Fabio Prati, Ethan Shaftel, Marinko Spahic| Stars:Gabriele Angieri, Bela B., Olli Banjo, Adam Buller"
2723,YouTube Poop: The Movie,2017,7.7,,21.0,21.0,Comedy,Director:Myles Byrne-Dunhill
2724,Thrissivaperoor Kliptham,2017,5.4,,1209.0,1209.0,Comedy,"Director:Ratheish Kumar| Stars:Asif Ali, Chemban Vinod Jose, Aparna Balamurali, Baburaj"
2725,Hara Hara Mahadevaki,2017,5.3,,533.0,533.0,"Comedy, Romance","Director:Santhosh P. Jayakumar| Stars:Gautham Karthik, Nikki Galrani, Sathish, Karunakaran"
2726,The West and the Ruthless,2017,5.0,,86.0,86.0,"Action, Adventure, Drama","Directors:Lexie Findarle Trivundza, Nick Trivundza| Stars:Danny Brown, Dan Fowlks, Paul Haapaniemi, Alexander Harris"
2727,Room No. 7,2017,5.7,,659.0,659.0,"Comedy, Crime, Thriller","Director:Yong-seung Lee| Stars:Shin Ha-kyun, Kyung-soo Do, Kim Dong-young, Moo-Sung Choi"
2728,Chal Man Jeetva Jaiye,2017,8.5,,950.0,950.0,Drama,"Director:Dipesh Shah| Stars:Karan Bhanushali, Krishna Bharadwaj, Samir Chandra, Hemen Chauhan"
2729,Yeo-seon-saeng,2017,,,,,Drama,"Director:Dae-Seong Kim| Stars:Wan-jin Jo, Won-i Seo"
2730,Zombies Have Fallen,2017,2.7,,1045.0,1045.0,"Action, Fantasy, Sci-Fi","Director:Sam Fountayne| Stars:Finn H. Drude, Tony Gardner, Heath Hampson, Sandy Jamieson"
2731,The Cage,V2017,5.5,,38.0,38.0,Drama,"Director:Lior Shamriz| Stars:Wonmok Kim, Kiha Kwon, Tae-hee Won, Maa Ming"
2732,All of You,2017,5.6,,182.0,182.0,"Drama, Romance","Director:Dan Villegas| Stars:Derek Ramsay, Jennylyn Mercado, Rafael Rosell, Via Antonio"
2733,Bhetali Tu Punha,2017,8.3,,75.0,75.0,Romance,"Directors:Chandrakant Kanse, Ajit Sable| Stars:Pooja Sawant, Vaibhav Tatwawadi"
2734,Bear Creek,2017,4.4,,55.0,55.0,Horror,"Director:George Climer| Stars:Leana Lewis, Lindsey Hubbell, Mike Benford, Christopher Thomas Robert Brown"
2735,Joint Custody,2017,5.5,,976.0,976.0,Comedy,"Director:Alexandra Leclère| Stars:Didier Bourdon, Valérie Bonneton, Isabelle Carré, Hélène Vincent"
2736,Chasing the Star,2017,3.1,,488.0,488.0,Adventure,"Director:Bret Miller| Stars:Rance Howard, Yancy Butler, Terence Knox, Taymour Ghazi"
2737,Those Who Are Fine,2017,6.1,,408.0,408.0,Drama,"Director:Cyril Schäublin| Stars:Sarah Stauffer, Margot Gödrös, Liliane Amuat, Daniel Bachmann"
2738,Cinderella the Cat,2017,6.7,55.0,1005.0,1005.0,"Animation, Crime, Drama","Directors:Ivan Cappiello, Marino Guarnieri, Alessandro Rak, Dario Sansone| Stars:Massimiliano Gallo, Maria Pia Calzone, Alessandro Gassmann, Daniele Bigliardo"
